name	x	y	z	size	hemisphere	seizure_zone	Destrieux_label	Destrieux_label_text	vertex_fsaverage
LA1	-18.319162	-3.01669	-12.645958	NaN	L		18	Left_Amygdala	160541
LA2	-20.279491	-3.6693523	-13.862198	NaN	L		18	Left_Amygdala	9879
LA3	-21.386147	-3.8590832	-15.085924	NaN	L		18	Left_Amygdala	160586
LA4	-21.806662	-3.9954891	-16.056164	NaN	L		18	Left_Amygdala	89449
LA5	-27.760962	-4.7538557	-22.21146	NaN	L		11117	lh_G_Ins_lg_and_S_cent_ins	9885
LA6	-28.885248	-0.44424042	-21.216215	NaN	L		11123	lh_G_oc-temp_med-Parahip	62407
LA7	-38.182228	1.9407215	-20.279716	NaN	L		11149	lh_S_circular_insula_inf	66289
LA8	-40.966003	-1.0196494	-19.397421	NaN	L		11149	lh_S_circular_insula_inf	59077
LA9	-42.794762	-1.6609962	-19.205309	NaN	L		2	Left_Cerebral_White_Matter	79319
LA10	-51.819893	-6.9699302	-21.819208	NaN	L		11174	lh_S_temporal_sup	101776
LA11	-54.487682	-5.4988799	-22.725307	NaN	L		11174	lh_S_temporal_sup	118206
LA12	-59.813	-3.1837611	-22.781612	NaN	L	IrritativeZone	11174	lh_S_temporal_sup	101789
LA13	-61.593567	-3.1531134	-24.624296	NaN	L	IrritativeZone	11138	lh_G_temporal_middle	46312
LA14	-62.083076	-4.3491955	-24.676668	NaN	L	IrritativeZone	11138	lh_G_temporal_middle	15592
LA15	NaN	NaN	NaN	NaN			NaN		NaN
LB1	-19.992868	2.4643223	-28.888819	NaN	L		11123	lh_G_oc-temp_med-Parahip	89536
LB2	-20.443195	1.9684108	-26.425177	NaN	L		18	Left_Amygdala	127414
LB3	-26.625107	-1.3441849	-22.397709	NaN	L		18	Left_Amygdala	9889
LB4	-29.648218	-7.3108993	-26.121075	NaN	L		18	Left_Amygdala	62471
LB5	-34.728813	-11.12687	-24.37104	NaN	L		5	Left_Inf_Lat_Vent	24303
